Prompt,Mechanic,Set,Sheet,Picture,"Cards with paw prints are marked with "" * """
Fire the fat-hamster crossbow.,Targeted Attack 2x,Imploding Kittens,Expansions,Link,
Flip this card like a coin. (Bonus TFC Edition),Coin Toss,All Bonus Cards,Bonus TFC Edtion,Link,
Gaze upon a Furmaid.,Alter the Future 3x,Imploding Kittens,Expansions,Link,
Gaze upon a Furmaid. (Party Pack),Alter the Future 3x,Party Pack,Main Decks,Link,
Get cursed at by a heck beaver.,Personal Attack 3x,Barking Kittens,Expansions,Link,
Get enslaved by party squirrels. (First Edition),Favor,First Edition,Main Decks,Link,
Get enslaved by party squirrels. (Original Edition),Favor,Original Edition,Main Decks,Link,
Get enslaved by party squirrels. (Party Pack),Favor,Party Pack,Main Decks,Link,
Get enslaved by party squirrels. (TFC Edition),Favor,TFC Edition,Main Decks,Link,
Get enslaved by party squirrels.*,Favor,Party Pack,Main Decks,Link,
Get relationship advice from a sloth. (Bonus Edition),See the Future 1x,All Bonus Cards,Bonus Edition,Link,
Get that perm you've always wanted.,Alter the Future 3x NOW,Barking Kittens,Expansions,Link,
Give yourself a fierce spankin'.,Personal Attack 3x,Barking Kittens,Expansions,Link,
Go back in time and steal a pregnant dinosaur.,Reverse,Imploding Kittens,Expansions,Link,
Go back in time and steal a pregnant dinosaur. (Party Pack),Reverse,Party Pack,Main Decks,Link,
Go base jumping using a pair of old lady boobs.,Skip,NSFW Edition,Main Decks,Link,
Go creepin' in other peoples business. (Bonus Edition),Creepy Peeky,All Bonus Cards,Bonus Edition,Link,
Go time-traveling with a crab and disrupt the space-crab continuum.,Alter the Future 3x,Imploding Kittens,Expansions,Link,
Go time-traveling with a crab and disrupt the space-crab continuum. (Party Pack),Alter the Future 3x,Party Pack,Main Decks,Link,
Go time-traveling with a crab and disrupt the space-crab continuum. *,Alter the Future 3x,Party Pack,Main Decks,Link,
Grow a magnificent squid arm and start slapping fat babies.,Attack 2x,NSFW Edition,Main Decks,Link,
Hairy Potato Cat (Bonus Edition),Cat Card,All Bonus Cards,Bonus Edition,Link,
Hairy Potato Cat (Bonus TFC Edition),Cat Card,All Bonus Cards,Bonus TFC Edtion,Link,
Hairy Potato Cat (First Edition),Cat Card,First Edition,Main Decks,Link,
Hairy Potato Cat (Original Edition),Cat Card,Original Edition,Main Decks,Link,
Hairy Potato Cat (Party Pack),Cat Card,Party Pack,Main Decks,Link,
Hairy Potato Cat (TFC Edition),Cat Card,TFC Edition,Main Decks,Link,
Hairy Potato Cat *,Cat Card,Party Pack,Main Decks,Link,
He is small and cute but still full of raging war juice.,Battle Hamster,Deck of Legends,Main Decks,Link,
Hip Cat,Hip Cat,Deck of Legends,Main Decks,Link,
Hitch a ride on a Corgihorse.,Super Skip,Barking Kittens,Expansions,Link,
Imploding Kitten,Imploding Kitten,Imploding Kittens,Expansions,Link,
Kiss under mistletoe until you get crazy diarrhea.,Favor,All Bonus Cards,Bonus Cards,Link,
Kitten (sketched),Exploding Kitten,All Bonus Cards,Blackbox Press Kit,Link,
Listen to the boastings of some very accomplished trout.,Personal Attack 3x,Barking Kittens,Expansions,Link,
Listen to the words of an emo Emu.,Share the Future 3x,Barking Kittens,Expansions,Link,
Make some poor medical decisions.,Swap Top and Bottom,Streaking Kittens,Expansions,Link,
Momma Cat,Cat Card,NSFW Edition,Main Decks,Link,
Nikola Tesla materializes as a pigeon and teaches you things.,Alter the Future 5x,Streaking Kittens,Expansions,Link,
Nopestadamus speaks the truth. (First Edition),Nope,First Edition,Main Decks,Link,
Nopestadamus speaks the truth. (Original Edition),Nope,Original Edition,Main Decks,Link,
Nopestadamus speaks the truth. (Party Pack),Nope,Party Pack,Main Decks,Link,
Nopestadamus speaks the truth. (TFC Edition),Nope,TFC Edition,Main Decks,Link,
Nopestadamus speaks the truth. *,Nope,Party Pack,Main Decks,Link,
Place the tower of power upon your head and fill it with stash cards.,Tower of Power,Barking Kittens,Expansions,Link,
Play a game of whale boner Tetherball.,Skip,NSFW Edition,Main Decks,Link,
Plus Plus,Plus Plus,Deck of Legends,Main Decks,Link,
Pucker Up,Pucker Up,Deck of Legends,Main Decks,Link,
Put on your necktie of nope. Holy smokes you look good.,Nope,NSFW Edition,Main Decks,Link,
Rainbow-ralphing Cat (Bonus Edition),Cat Card,All Bonus Cards,Bonus Edition,Link,
Rainbow-ralphing Cat (Bonus TFC Edition),Cat Card,All Bonus Cards,Bonus TFC Edtion,Link,
Rainbow-ralphing Cat (First Edition),Cat Card,First Edition,Main Decks,Link,
Rainbow-ralphing Cat (Original Edition),Cat Card,Original Edition,Main Decks,Link,
Rainbow-ralphing Cat (Party Pack),Cat Card,Party Pack,Main Decks,Link,
Rainbow-ralphing Cat (TFC Edition),Cat Card,TFC Edition,Main Decks,Link,
Rainbow-ralphing Cat *,Cat Card,Party Pack,Main Decks,Link,
Receive a hairy tummy massage.,Reverse,Imploding Kittens,Expansions,Link,
Receive a hairy tummy massage. (Party Pack),Reverse,Party Pack,Main Decks,Link,
Release fireworks from your underpants.,Draw From the Bottom,Imploding Kittens,Expansions,Link,
Release fireworks from your underpants. (Party Pack),Draw From the Bottom,Party Pack,Main Decks,Link,
Release fireworks from your underpants. *,Draw From the Bottom,Party Pack,Main Decks,Link,
Release the torture bunnies.,Attack 2x,NSFW Edition,Main Decks,Link,
Release the torture bunnies. (Party Pack),Attack 2x,Party Pack,Main Decks,Link,
Return from an unpleasant doctor's visit.,Reverse,Imploding Kittens,Expansions,Link,
Return from an unpleasant doctor's visit. (Party Pack),Reverse,Party Pack,Main Decks,Link,
Rub peanut butter on your belly button and make some new friends. (First Edition),Favor,First Edition,Main Decks,Link,
Rub peanut butter on your belly button and make some new friends. (Original Edition),Favor,Original Edition,Main Decks,Link,
Rub peanut butter on your belly button and make some new friends. (Party Pack),Favor,Party Pack,Main Decks,Link,
Rub peanut butter on your belly button and make some new friends. (TFC Edition),Favor,TFC Edition,Main Decks,Link,
Rub the belly of a Pig-a-corn. (First Edition),See the Future 3x,First Edition,Main Decks,Link,
Rub the belly of a Pig-a-corn. (Original Edition),See the Future 3x,Original Edition,Main Decks,Link,
Rub the belly of a Pig-a-corn. (TFC Edition),See the Future 3x,TFC Edition,Main Decks,Link,
Rub the belly of a Pig-a-corn. *,See the Future 3x,Party Pack,Main Decks,Link,
"Sail away on your penis balloon. Be free, little buddy.",Skip,NSFW Edition,Main Decks,Link,
Say something nice.,Draw From the Bottom,Imploding Kittens,Expansions,Link,
Say something nice. (Party Pack),Draw From the Bottom,Party Pack,Main Decks,Link,
Say something nice. *,Draw From the Bottom,Party Pack,Main Decks,Link,
Send in a Seagull who steals things.,I'll Take That,Barking Kittens,Expansions,Link,
Send in a Vampug.,I'll Take That,Barking Kittens,Expansions,Link,
Send in the recon sloth.,Share the Future 3x,Barking Kittens,Expansions,Link,
Send the Klepto cat.,I'll Take That,Barking Kittens,Expansions,Link,
Share with the group at catnip anonymous.,Potluck,Barking Kittens,Expansions,Link,
Shy Bladder Cat,Cat Card,NSFW Edition,Main Decks,Link,
Smack someone in the face and make them super sad.,Double Slap,Party Pack,Main Decks,Link,
Smack someone in the face and make them super sad.,Triple Slap,Party Pack,Main Decks,Link,
Smack someone in the face and make them super sad. *,Double Slap,Party Pack,Main Decks,Link,
Smack someone in the face and make them super sad. *,Triple Slap,Party Pack,Main Decks,Link,
Smoke some crack with a baby owl.,Shuffle,NSFW Edition,Main Decks,Link,
Stare deep into the bum of a cat wizard and gain an understanding of all things.,Alter the Future 3x,Imploding Kittens,Expansions,Link,
Stare deep into the bum of a cat wizard and gain an understanding of all things. (Party Pack),Alter the Future 3x,Party Pack,Main Decks,Link,
Steals from the rich and gives to the purrrr,Robin Hood,Deck of Legends,Main Decks,Link,
Summon the golden-haired manatee.,Alter the Future 3x,Imploding Kittens,Expansions,Link,
Summon the golden-haired manatee. (Party Pack),Alter the Future 3x,Party Pack,Main Decks,Link,
Summon the golden-haired manatee. *,Alter the Future 3x,Party Pack,Main Decks,Link,
Summon the Mantis Shrimp. (First Edition),See the Future 3x,First Edition,Main Decks,Link,
Summon the Mantis Shrimp. (Original Edition),See the Future 3x,Original Edition,Main Decks,Link,
Summon the Mantis Shrimp. (TFC Edition),See the Future 3x,TFC Edition,Main Decks,Link,
Summon the Mantis Shrimp. *,See the Future 3x,Party Pack,Main Decks,Link,
Tacocat (Bonus Edition),Cat Card,All Bonus Cards,Bonus Edition,Link,
Tacocat (Bonus TFC Edition),Cat Card,All Bonus Cards,Bonus TFC Edtion,Link,
Tacocat (First Edition),Cat Card,First Edition,Main Decks,Link,
Tacocat (Original Edition),Cat Card,Original Edition,Main Decks,Link,
Tacocat (Party Pack),Cat Card,Party Pack,Main Decks,Link,
Tacocat (TFC Edition),Cat Card,TFC Edition,Main Decks,Link,
Tacocat *,Cat Card,Party Pack,Main Decks,Link,
Take a big bite out of your coward sandwich.,Draw From the Bottom,Imploding Kittens,Expansions,Link,
Take a big bite out of your coward sandwich. (Party Pack),Draw From the Bottom,Party Pack,Main Decks,Link,
Take a big bite out of your coward sandwich. *,Draw From the Bottom,Party Pack,Main Decks,Link,
Take your friends beard-sailing on your beard boat. (First Edition),Favor,First Edition,Main Decks,Link,
Take your friends beard-sailing on your beard boat. (Original Edition),Favor,Original Edition,Main Decks,Link,
Take your friends beard-sailing on your beard boat. (Party Pack),Favor,Party Pack,Main Decks,Link,
Take your friends beard-sailing on your beard boat. (TFC Edition),Favor,TFC Edition,Main Decks,Link,
Take your friends beard-sailing on your beard boat. *,Favor,Party Pack,Main Decks,Link,
Teach someone a new palindrome.,Favor,NSFW Edition,Main Decks,Link,
The Mad Catter,The Mad Catter,Deck of Legends,Main Decks,Link,
The pope of nope has spoken.,Nope,NSFW Edition,Main Decks,Link,
They love eachother more than rambo loves his friend beast.,Christopher and Steve,Deck of Legends,Main Decks,Link,
"This Bat sucks, which makes you sad.",Hip Bat,Deck of Legends,Main Decks,Link,
This is a cause fur alarm,Catomic Bomb,Streaking Kittens,Expansions,Link,
Try something new today.,Reverse,Imploding Kittens,Expansions,Link,
Try something new today. (Party Pack),Reverse,Party Pack,Main Decks,Link,
Twins,Twins,Deck of Legends,Main Decks,Link,
Two parts fluffy. Ten parts dangerous.,The Twins,Deck of Legends,Main Decks,Link,
Unleash a shark who hurts with words instead of teeth.,Targeted Attack 2x,Imploding Kittens,Expansions,Link,
Unleash some adorable penguin diarrhea.,Attack 2x,NSFW Edition,Main Decks,Link,
Unleash some adorable penguin diarrhea. (Party Pack),Attack 2x,Party Pack,Main Decks,Link,
Unleash the Catterwocky. (First Edition),Attack 2x,First Edition,Main Decks,Link,
Unleash the Catterwocky. (Original Edition),Attack 2x,Original Edition,Main Decks,Link,
Unleash the Catterwocky. (Party Pack),Attack 2x,Party Pack,Main Decks,Link,
Unleash the Catterwocky. (TFC Edition),Attack 2x,TFC Edition,Main Decks,Link,
Unleash the Catterwocky. *,Attack 2x,Party Pack,Main Decks,Link,
Via 3am flatulence. (First Edition),Defuse,First Edition,Main Decks,Link,
Via 3am flatulence. (Original Edition),Defuse,Original Edition,Main Decks,Link,
Via 3am flatulence. (TFC Edition),Defuse,TFC Edition,Main Decks,Link,
Via belly rubs. (First Edition),Defuse,First Edition,Main Decks,Link,
Via belly rubs. (Original Edition),Defuse,Original Edition,Main Decks,Link,
Via belly rubs. (Party Pack),Defuse,Party Pack,Main Decks,Link,
Via belly rubs. (TFC Edition),Defuse,TFC Edition,Main Decks,Link,
Via catnip sandwiches. (First Edition),Defuse,First Edition,Main Decks,Link,
Via catnip sandwiches. (Original Edition),Defuse,Original Edition,Main Decks,Link,
Via catnip sandwiches. (Party Pack),Defuse,Party Pack,Main Decks,Link,
Via catnip sandwiches. (TFC Edition),Defuse,TFC Edition,Main Decks,Link,
Via catnip sandwiches. *,Defuse,Party Pack,Main Decks,Link,
Via crate.,Defuse,NSFW Edition,Main Decks,Link,
Via excessive ball-cleaning.,Defuse,NSFW Edition,Main Decks,Link,
Via excessive bell-cleaning.,Defuse,All Bonus Cards,Bonus Cards,Link,
Via kitten therapy. (First Edition),Defuse,First Edition,Main Decks,Link,
Via kitten therapy. (Original Edition),Defuse,Original Edition,Main Decks,Link,
Via kitten therapy. (Party Pack),Defuse,Party Pack,Main Decks,Link,
Via kitten therapy. (TFC Edition),Defuse,TFC Edition,Main Decks,Link,
Via kitten therapy. *,Defuse,Party Pack,Main Decks,Link,
Via laser pointer. (First Edition),Defuse,First Edition,Main Decks,Link,
Via laser pointer. (Original Edition),Defuse,Original Edition,Main Decks,Link,
Via laser pointer. (Party Pack),Defuse,Party Pack,Main Decks,Link,
Via laser pointer. (TFC Edition),Defuse,TFC Edition,Main Decks,Link,
Via laser pointer. *,Defuse,Party Pack,Main Decks,Link,
Via mauling a baby.,Defuse,NSFW Edition,Main Decks,Link,
Via nature documentaries.,Defuse,NSFW Edition,Main Decks,Link,
Via participation in kitten yoga. (First Edition),Defuse,First Edition,Main Decks,Link,
Via participation in kitten yoga. (Original Edition),Defuse,Original Edition,Main Decks,Link,
Via participation in kitten yoga. (Party Pack),Defuse,Party Pack,Main Decks,Link,
Via participation in kitten yoga. (TFC Edition),Defuse,TFC Edition,Main Decks,Link,
Via porkback riding into the sunset together.,Defuse,NSFW Edition,Main Decks,Link,
Via spay/neuter.,Defuse,NSFW Edition,Main Decks,Link,
Weave an infinity boner and live forever. For it is the most sacred of boners.,See the Future 3x,NSFW Edition,Main Decks,Link,
What was yours is now mine.,Mark,Streaking Kittens,Expansions,Link,
Whip out your rubber dick collection.,Attack 2x,NSFW Edition,Main Decks,Link,
Whip out your rubber duck collection.,Attack 2x,Party Pack,Main Decks,Link,
Win the nopebell peace prize. (First Edition),Nope,First Edition,Main Decks,Link,
Win the nopebell peace prize. (Original Edition),Nope,Original Edition,Main Decks,Link,
Win the nopebell peace prize. (Party Pack),Nope,Party Pack,Main Decks,Link,
Win the nopebell peace prize. (TFC Edition),Nope,TFC Edition,Main Decks,Link,
Win the nopebell peace prize. *,Nope,Party Pack,Main Decks,Link,
Zombie Cat,Cat Card,NSFW Edition,Main Decks,Link,
Zombie Cat (Bonus Edition),Cat Card,All Bonus Cards,Bonus Edition,Link,